COD_CLIENTE;CLIENTE;PORTFOLIO;DATAPOS;CATEGORIA;CODIGO;PAPEL;DATACOMPRA;DATAEMISSAO;DATAVCTO;EMISSOR;QTDE_DISP;QTDE_BLOQ;QTDE_TOTAL;PRECO_CUSTO;PRECO;CUSTO_TOTAL;RESULTADO;VALOR_MERC_BRUTO;IRRF;VALOR_MERC_LIQUIDO;AJUSTE_FUT_SWAP;CONTRAPARTE;CUSTODIANTE;CORRETORA;TIPO;PRECO_EXERCICIO;PRINCIPAL;BASE_ATIVO;PC_INDEX_ATIVO;INDEX_ATIVO;PC_TX_ATIVO;TAXA_MTM;CURVA_ATIVO;VALOR_ATIVO;GARANTIA_ATIVO;BASE_PASSIVO;PC_INDEX_PASSIVO;INDEX_PASSIVO;PC_TAXA_PASSIVO;TAXA_MTM_PASSIVO;CURVA_PASSIVO;VALOR_PASSIVO;GARANTIA_PASSIVO;TIT_ASSOC;CODIGO_OPER;VL_FUTURO_ATIVO;VL_FUTURO_PASSIVO;MTM_ACCRUAL;INDEX_ATIVO_PASSIVO;LASTRO;TAXA_OVER;PU_CURVA;TAXA_PAR;AGIO_DESAGIO;DATA_REPAC;VALOR_NOMINAL;TIR;COVERAGECCY;PATRIM_LIQUIDO
CUST0106       ;NÉOS PREV. COMPLEMENTAR - PLANO BD PE;Carteira Própria;13/08/2024;CONTAS A PAGAR/RECEBER;255;PROVISÃO  CDB  SANTOS CRED DUVIDOSOS;;13/08/2024;13/03/2090;;;;;;;;;;;-170174,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;933433216,3
CUST0106       ;NÉOS PREV. COMPLEMENTAR - PLANO BD PE;Carteira Própria;13/08/2024;CONTAS A PAGAR/RECEBER;255;PROV PERDA - C.D.B BCO SANTOS;;13/08/2024;13/03/2090;;;;;;;;;;;170174,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;933433216,3
CUST0106       ;NÉOS PREV. COMPLEMENTAR - PLANO BD PE;Carteira Própria;13/08/2024;CONTAS A PAGAR/RECEBER;156;Taxa de Custódia Apropriada;;13/08/2024;06/09/2024;;;;;;;;;;;-207,53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;933433216,3
CUST0106       ;NÉOS PREV. COMPLEMENTAR - PLANO BD PE;Carteira Própria;13/08/2024;CONTAS A PAGAR/RECEBER;158;Despesa de Custo CETIP com pagamento 06/09/24;;13/08/2024;06/09/2024;;;;;;;;;;;-1360,54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;933433216,3
CUST0106       ;NÉOS PREV. COMPLEMENTAR - PLANO BD PE;Carteira Própria;13/08/2024;TESOURARIA;;;;;;;;;;;;;;;;135177,31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;933433216,3
CUST0106       ;NÉOS PREV. COMPLEMENTAR - PLANO BD PE;Carteira Própria;13/08/2024;PATRIMONIO LIQUIDO;;;;;;;2295227,604;;;;406,6843804;;;;;933433216,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;933433216,3
CUST0107       ;NÉOS PREV. COMPLEMENTAR - NÉOS PE - BRAM ALM BD FI REND FIXA;Carteira Própria;13/08/2024;RENDA FIXA;DEBNC;CMDT33;15/03/2013;15/02/2013;15/02/2025;CMGD      ;780;0;780;1009,97914;477,6267703;787783,7292;-415234,8492;372548,88;0;372548,88;;CMGD    ;;;;;0;252/Exponencial;100;IPCA    ;5,1;0;;;;;;;;;;;;;B572528   ;372548,88;;ACCRUAL;;237148;1,74062253;491,3383216;5,10036387;37,88;15/03/2013;0;11,02780276;REAL    ;857576426,7
CUST0107       ;NÉOS PREV. COMPLEMENTAR - NÉOS PE - BRAM ALM BD FI REND FIXA;Carteira Própria;13/08/2024;RENDA FIXA;DEBNC;TAEE33;08/11/2012;15/10/2012;15/10/2024;TRNA      ;507;0;507;1245,282032;511,4061964;631357,9902;-372075,0502;259282,94;0;259282,94;;BBA     ;;;;;0;252/Exponencial;100;IPCA    ;5,1;0;;;;;;;;;;;;;B573712   ;259282,94;;ACCRUAL;;232178;1,371080176;515,9001413;2,489518661;1172,14;08/11/2012;0;7,636001373;REAL    ;857576426,7
CUST0107       ;NÉOS PREV. COMPLEMENTAR - NÉOS PE - BRAM ALM BD FI REND FIXA;Carteira Própria;13/08/2024;RENDA FIXA;DEBNC;CMDT33;13/05/2013;15/02/2013;15/02/2025;CMGD      ;218;0;218;1030,062554;477,6267703;224553,6368;-120430,9968;104122,64;0;104122,64;;CMGD    ;;;;;0;252/Exponencial;100;IPCA    ;5,1;0;;;;;;;;;;;;;B572529   ;104122,64;;ACCRUAL;;237148;1,74062253;491,4113996;5,070068755;26,52;13/05/2013;0;11,02780276;REAL    ;857576426,7
CUST0107       ;NÉOS PREV. COMPLEMENTAR - NÉOS PE - BRAM ALM BD FI REND FIXA;Carteira Própria;13/08/2024;RENDA FIXA;DEBRV;CVRDA6;15/02/2012;08/07/1997;08/07/2050;VALE      ;20391;0;20391;0,033375913;35,3163624;680,5682442;719455,3718;720135,94;0;720135,94;;;;;;;0;252/Exponencial;100;IGPM-IND;0;-5,580225625;;;;;;;;;;;;;B572530   ;720135,94;;MTM;;2472;-11,90554236;0,360943851;12,81770329;-156844,35;15/02/2012;0;12,81770329;REAL    ;857576426,7
CUST0107       ;NÉOS PREV. COMPLEMENTAR - NÉOS PE - BRAM ALM BD FI REND FIXA;Carteira Própria;13/08/2024;RENDA FIXA;LTN-O;LTN OVER;12/08/2024;12/08/2024;13/08/2024;STNC      ;0;0;0;852,4340575;852,7684984;0;0;0;0;0;;BBDC    ;;;;;0;252/Exponencial;100;PRE     ;10,39;0;;;;;;;;;;;;;B909766   ;0;;ACCRUAL;;569280;1,177008956;852,7684984;10,39;0;;0;10,39;REAL    ;857576426,7
CUST0107       ;NÉOS PREV. COMPLEMENTAR - NÉOS PE - BRAM ALM BD FI REND FIXA;Carteira Própria;13/08/2024;RENDA FIXA;NTN-B;NTNBTNAC760199150826;23/05/2018;15/07/2000;15/08/2026;STNC      ;1060;0;1060;3292,510392;4505,656641;3490061,016;1285935,024;4775996,04;0;4775996,04;;RENA    ;;;;;0;252/Exponencial;100;IPCA    ;6;0;;;;;;;;;;;;;B262992A  ;4775996,04;;ACCRUAL;;280491;1,095574071;4505,656641;5,174636586;70046,66;;0;5,174636586;REAL    ;857576426,7
CUST0107       ;NÉOS PREV. COMPLEMENTAR - NÉOS PE - BRAM ALM BD FI REND FIXA;Carteira Própria;13/08/2024;RENDA FIXA;NTN-B;NTNBTNAC760199150826;12/06/2018;15/07/2000;15/08/2026;STNC      ;1237;0;1237;3217,207937;4469,464577;3979686,218;1549041,462;5528727,68;0;5528727,68;;RENA    ;;;;;0;252/Exponencial;100;IPCA    ;6;0;;;;;;;;;;;;;B267038   ;5528727,68;;ACCRUAL;;280491;1,147040388;4469,464577;5,630138132;36973,56;;0;5,630138132;REAL    ;857576426,7
CUST0107       ;NÉOS PREV. COMPLEMENTAR - NÉOS PE - BRAM ALM BD FI REND FIXA;Carteira Própria;13/08/2024;RENDA FIXA;NTN-B;NTNBTNAC760199150824;20/12/2017;15/07/2000;15/08/2024;STNC      ;835;0;835;3237,563439;4439,837686;2703365,472;1003898,998;3707264,47;0;3707264,47;;STNC    ;;;;;0;252/Exponencial;100;IPCA    ;6;0;;;;;;;;;;;;;B233426   ;3707264,47;;ACCRUAL;;34610;1,094383984;4439,837686;5,164126923;219,43;;0;5,164126923;REAL    ;857576426,7
CUST0107       ;NÉOS PREV. COMPLEMENTAR - NÉOS PE - BRAM ALM BD FI REND FIXA;Carteira Própria;13/08/2024;RENDA FIXA;NTN-B;NTNBTNAC760199150826;20/12/2017;15/07/2000;15/08/2026;STNC      ;1010;0;1010;3264,174231;4503,851042;3296815,973;1252073,577;4548889,55;0;4548889,55;;STNC    ;;;;;0;252/Exponencial;100;IPCA    ;6;0;;;;;;;;;;;;;B233427   ;4548889,55;;ACCRUAL;;280491;1,098131329;4503,851042;5,197223281;64918,93;;0;5,197223281;REAL    ;857576426,7
CUST0107       ;NÉOS PREV. COMPLEMENTAR - NÉOS PE - BRAM ALM BD FI REND FIXA;Carteira Própria;13/08/2024;RENDA FIXA;NTN-B;NTNBTNAC760199150828;12/06/2018;15/07/2000;15/08/2028;STNC      ;1530;0;1530;3231,044429;4498,042849;4943497,976;1938507,584;6882005,56;0;6882005,56;;STNC    ;;;;;0;252/Exponencial;100;IPCA    ;6;0;;;;;;;;;;;;;B267041   ;6882005,56;;ACCRUAL;;318248;1,14757401;4498,042849;5,634871212;89455,99;;0;5,634871212;REAL    ;857576426,7
CUST0107       ;NÉOS PREV. COMPLEMENTAR - NÉOS PE - BRAM ALM BD FI REND FIXA;Carteira Própria;13/08/2024;RENDA FIXA;NTN-B;NTNBTNAC760199150830;12/06/2018;15/07/2000;15/08/2030;STNC      ;300;0;300;3215,015438;4501,467136;964504,6314;385935,5086;1350440,14;0;1350440,14;;RENA    ;;;;;0;252/Exponencial;100;IPCA    ;6;0;;;;;;;;;;;;;B267042   ;1350440,14;;ACCRUAL;;179415;1,16028098;4501,467136;5,747641143;18567,68;;0;5,747641143;REAL    ;857576426,7
CUST0107       ;NÉOS PREV. COMPLEMENTAR - NÉOS PE - BRAM ALM BD FI REND FIXA;Carteira Própria;13/08/2024;RENDA FIXA;NTN-B;NTNBTNAC760199150826;26/09/2018;15/07/2000;15/08/2026;STNC      ;1559;0;1559;3206,634873;4458,525847;4999143,767;1951698,033;6950841,8;0;6950841,8;;RENA    ;;;;;0;252/Exponencial;100;IPCA    ;6;0;;;;;;;;;;;;;B287834   ;6950841,8;;ACCRUAL;;280491;1,162682305;4458,525847;5,768965529;29544,56;;0;5,768965529;REAL    ;857576426,7
CUST0107       ;NÉOS PREV. COMPLEMENTAR - NÉOS PE - BRAM ALM BD FI REND FIXA;Carteira Própria;13/08/2024;RENDA FIXA;NTN-B;NTNBTNAC760199150826;21/05/2018;15/07/2000;15/08/2026;STNC      ;1825;0;1825;3285,974454;4504,091667;5996903,379;2223063,911;8219967,29;0;8219967,29;;STNC    ;;;;;0;252/Exponencial;100;IPCA    ;6;0;;;;;;;;;;;;;B262408A  ;8219967,29;;ACCRUAL;;280491;1,09779047;4504,091667;5,194212401;117743,14;;0;5,194212401;REAL    ;857576426,7
CUST0107       ;NÉOS PREV. COMPLEMENTAR - NÉOS PE - BRAM ALM BD FI REND FIXA;Carteira Própria;13/08/2024;RENDA FIXA;NTN-B;NTNBTNAC760199150826;12/06/2018;15/07/2000;15/08/2026;STNC      ;293;0;293;3218,472248;4469,969644;943012,3687;366688,7413;1309701,11;0;1309701,11;;RENA    ;;;;;0;252/Exponencial;100;IPCA    ;6;0;;;;;;;;;;;;;B267039   ;1309701,11;;ACCRUAL;;280491;1,146319142;4469,969644;5,623741202;8905,67;;0;5,623741202;REAL    ;857576426,7
CUST0107       ;NÉOS PREV. COMPLEMENTAR - NÉOS PE - BRAM ALM BD FI REND FIXA;Carteira Própria;13/08/2024;RENDA FIXA;NTN-B;NTNBTNAC760199150828;23/08/2018;15/07/2000;15/08/2028;STNC      ;950;0;950;3238,31645;4504,536138;3076400,628;1202908,703;4279309,33;0;4279309,33;;RENA    ;;;;;0;252/Exponencial;100;IPCA    ;6;0;;;;;;;;;;;;;B281574   ;4279309,33;;ACCRUAL;;318248;1,142682465;4504,536138;5,591492401;61713,2;;0;5,591492401;REAL    ;857576426,7
CUST0107       ;NÉOS PREV. COMPLEMENTAR - NÉOS PE - BRAM ALM BD FI REND FIXA;Carteira Própria;13/08/2024;RENDA FIXA;NTN-B;NTNBTNAC760199150830;20/04/2015;15/07/2000;15/08/2030;STNC      ;2650;0;2650;2644,307883;4444,949168;7007415,89;4771699,4;11779115,29;0;11779115,29;;STNC    ;;;;;0;252/Exponencial;100;IPCA    ;6;0;;;;;;;;;;;;;B71787    ;11779115,29;;ACCRUAL;;179415;1,190564739;4444,949168;6,016882594;14241,82;;0;6,016882594;REAL    ;857576426,7
CUST0107       ;NÉOS PREV. COMPLEMENTAR - NÉOS PE - BRAM ALM BD FI REND FIXA;Carteira Própria;13/08/2024;RENDA FIXA;NTN-B;NTNBTNAC760199150824;09/11/2006;15/07/2000;15/08/2024;STNC      ;7635;0;7635;1324,104756;4438,86699;10109539,81;23781209,66;33890749,47;0;33890749,47;;;;;;;0;252/Exponencial;100;IPCA    ;6;0;;;;;;;;;;;;;346340;33890749,47;;ACCRUAL;;34610;1,422507518;4438,86699;8,101766202;-5404,87;;0;8,101766202;REAL    ;857576426,7
CUST0107       ;NÉOS PREV. COMPLEMENTAR - NÉOS PE - BRAM ALM BD FI REND FIXA;Carteira Própria;13/08/2024;RENDA FIXA;NTN-B;NTNBTNAC760199150828;21/09/2018;15/07/2000;15/08/2028;STNC      ;2700;0;2700;3209,53258;4476,274886;8665737,966;3420204,224;12085942,19;0;12085942,19;;MERRIL  ;;;;;0;252/Exponencial;100;IPCA    ;6;0;;;;;;;;;;;;;B286944A  ;12085942,19;;ACCRUAL;;318248;1,164028829;4476,274886;5,780924887;99090,02;;0;5,780924887;REAL    ;857576426,7
CUST0107       ;NÉOS PREV. COMPLEMENTAR - NÉOS PE - BRAM ALM BD FI REND FIXA;Carteira Própria;13/08/2024;RENDA FIXA;NTN-B;NTNBTNAC760199150830;23/04/2015;15/07/2000;15/08/2030;STNC      ;2670;0;2670;2620,410712;4422,638641;6996496,601;4811948,569;11808445,17;0;11808445,17;;STNC    ;;;;;0;252/Exponencial;100;IPCA    ;6;0;;;;;;;;;;;;;B72027    ;11808445,17;;ACCRUAL;;179415;1,202639531;4422,638641;6,1244253;-45219,8;;0;6,1244253;REAL    ;857576426,7
CUST0107       ;NÉOS PREV. COMPLEMENTAR - NÉOS PE - BRAM ALM BD FI REND FIXA;Carteira Própria;13/08/2024;RENDA FIXA;NTN-B;NTNBTNAC760199150830;04/02/2014;15/07/2000;15/08/2030;STNC      ;4513;0;4513;2215,412101;4242,631873;9998154,812;9148842,828;19146997,64;0;19146997,64;;STNC    ;;;;;0;252/Exponencial;100;IPCA    ;6;0;;;;;;;;;;;;;B30943    ;19146997,64;;ACCRUAL;;179415;1,302663883;4242,631873;7,019468663;-888803,87;;0;7,019468663;REAL    ;857576426,7
CUST0107       ;NÉOS PREV. COMPLEMENTAR - NÉOS PE - BRAM ALM BD FI REND FIXA;Carteira Própria;13/08/2024;RENDA FIXA;NTN-B;NTNBTNAC760199150535;24/08/2018;15/07/2000;15/05/2035;STNC      ;92;0;92;3298,352245;4493,600319;303448,4065;109962,8235;413411,23;0;413411,23;;STNC    ;;;;;0;252/Exponencial;100;IPCA    ;6;0;;;;;;;;;;;;;B281802   ;413411,23;;ACCRUAL;;89007;1,153303663;4493,600319;5,68570505;10916,18;;0;5,68570505;REAL    ;857576426,7
CUST0107       ;NÉOS PREV. COMPLEMENTAR - NÉOS PE - BRAM ALM BD FI REND FIXA;Carteira Própria;13/08/2024;RENDA FIXA;NTN-B;NTNBTNAC760199150828;06/10/2022;15/07/2000;15/08/2028;STNC      ;6969;0;6969;4041,454344;4483,161101;28164895,32;3078254,397;31243149,72;0;31243149,72;;LIQUIDEZ;;;;;0;252/Exponencial;100;IPCA    ;6;0;;;;;;;;;;;;;B667766   ;31243149,72;;ACCRUAL;;318248;1,158813961;4485,921178;5,716081978;322987,36;;0;5,734615737;REAL    ;857576426,7
CUST0107       ;NÉOS PREV. COMPLEMENTAR - NÉOS PE - BRAM ALM BD FI REND FIXA;Carteira Própria;13/08/2024;RENDA FIXA;NTN-B;NTNBTNAC760199150535;13/08/2008;15/07/2000;15/05/2035;STNC      ;850;0;850;1572,603461;4056,115839;1336712,942;2110985,518;3447698,46;0;3447698,46;;;;;;;0;252/Exponencial;100;IPCA    ;6;0;;;;;;;;;;;;;346326;3447698,46;;ACCRUAL;;89007;1,307604293;4056,115839;7,063871041;-271005,73;;0;7,063871041;REAL    ;857576426,7
CUST0107       ;NÉOS PREV. COMPLEMENTAR - NÉOS PE - BRAM ALM BD FI REND FIXA;Carteira Própria;13/08/2024;RENDA FIXA;NTN-B;NTNBTNAC760199150830;12/06/2018;15/07/2000;15/08/2030;STNC      ;315;0;315;3220,316291;4505,709767;1014399,632;404898,9483;1419298,58;0;1419298,58;;STNC    ;;;;;0;252/Exponencial;100;IPCA    ;6;0;;;;;;;;;;;;;B267044   ;1419298,58;;ACCRUAL;;179415;1,158025054;4505,709767;5,727611835;20832,48;;0;5,727611835;REAL    ;857576426,7
CUST0107       ;NÉOS PREV. COMPLEMENTAR - NÉOS PE - BRAM ALM BD FI REND FIXA;Carteira Própria;13/08/2024;RENDA FIXA;NTN-B;NTNBTNAC760199150830;04/02/2014;15/07/2000;15/08/2030;STNC      ;465;0;465;2219,596699;4246,546533;1032112,465;942531,675;1974644,14;0;1974644,14;;STNC    ;;;;;0;252/Exponencial;100;IPCA    ;6;0;;;;;;;;;;;;;B30944    ;1974644,14;;ACCRUAL;;179415;1,300437668;4246,546533;6,999466345;-89758,19;;0;6,999466345;REAL    ;857576426,7
CUST0107       ;NÉOS PREV. COMPLEMENTAR - NÉOS PE - BRAM ALM BD FI REND FIXA;Carteira Própria;13/08/2024;RENDA FIXA;NTN-B;NTNBTNAC760199150830;18/09/2015;15/07/2000;15/08/2030;STNC      ;486;0;486;2410,323998;4188,392502;1171417,463;864141,297;2035558,76;0;2035558,76;;STNC    ;;;;;0;252/Exponencial;100;IPCA    ;6;0;;;;;;;;;;;;;B92731    ;2035558,76;;ACCRUAL;;179415;1,333751943;4188,392502;7,299181144;-122074,64;;0;7,299181144;REAL    ;857576426,7
CUST0107       ;NÉOS PREV. COMPLEMENTAR - NÉOS PE - BRAM ALM BD FI REND FIXA;Carteira Própria;13/08/2024;RENDA FIXA;NTN-B;NTNBTNAC760199150830;10/09/2015;15/07/2000;15/08/2030;STNC      ;548;0;548;2376,360491;4164,153367;1302245,549;979710,4909;2281956,04;0;2281956,04;;SANTCCVM;;;;;0;252/Exponencial;100;IPCA    ;6;0;;;;;;;;;;;;;B91300    ;2281956,04;;ACCRUAL;;179415;1,347793559;4164,153367;7,425758129;-150931;;0;7,425758129;REAL    ;857576426,7
CUST0107       ;NÉOS PREV. COMPLEMENTAR - NÉOS PE - BRAM ALM BD FI REND FIXA;Carteira Própria;13/08/2024;RENDA FIXA;NTN-B;NTNBTNAC760199150830;25/11/2015;15/07/2000;15/08/2030;STNC      ;777;0;777;2575,523789;4269,881432;2001181,984;1316515,886;3317697,87;0;3317697,87;;STNC    ;;;;;0;252/Exponencial;100;IPCA    ;6;0;;;;;;;;;;;;;B105548   ;3317697,87;;ACCRUAL;;179415;1,287215674;4269,881432;6,8807448;-131851,82;;0;6,8807448;REAL    ;857576426,7
CUST0107       ;NÉOS PREV. COMPLEMENTAR - NÉOS PE - BRAM ALM BD FI REND FIXA;Carteira Própria;13/08/2024;RENDA FIXA;NTN-B;NTNBTNAC760199150830;28/09/2015;15/07/2000;15/08/2030;STNC      ;826;0;826;2413,770589;4184,573774;1993774,507;1462683,433;3456457,94;0;3456457,94;;STNC    ;;;;;0;252/Exponencial;100;IPCA    ;6;0;;;;;;;;;;;;;B94290    ;3456457,94;;ACCRUAL;;179415;1,335957959;4184,573774;7,319057248;-210630,93;;0;7,319057248;REAL    ;857576426,7
CUST0107       ;NÉOS PREV. COMPLEMENTAR - NÉOS PE - BRAM ALM BD FI REND FIXA;Carteira Própria;13/08/2024;RENDA FIXA;NTN-B;NTNBTNAC760199150830;23/02/2011;15/07/2000;15/08/2030;STNC      ;950;0;950;1992,865982;4432,59202;1893222,683;2317739,737;4210962,42;0;4210962,42;;HSBC    ;;;;;0;252/Exponencial;100;IPCA    ;6;0;;;;;;;;;;;;;522256;4210962,42;;ACCRUAL;;179415;1,197244107;4432,59202;6,076358166;-6633,74;;0;6,076358166;REAL    ;857576426,7
CUST0107       ;NÉOS PREV. COMPLEMENTAR - NÉOS PE - BRAM ALM BD FI REND FIXA;Carteira Própria;13/08/2024;RENDA FIXA;NTN-B;NTNBTNAC760199150830;02/04/2014;15/07/2000;15/08/2030;STNC      ;1300;0;1300;2274,832369;4311,786626;2957282,08;2648040,53;5605322,61;0;5605322,61;;STNC    ;;;;;0;252/Exponencial;100;IPCA    ;6;0;;;;;;;;;;;;;B113035   ;5605322,61;;ACCRUAL;;179415;1,263676388;4311,786626;6,669707933;-166124,75;;0;6,669707933;REAL    ;857576426,7
CUST0107       ;NÉOS PREV. COMPLEMENTAR - NÉOS PE - BRAM ALM BD FI REND FIXA;Carteira Própria;13/08/2024;RENDA FIXA;NTN-B;NTNBTNAC760199150840;19/08/2013;15/07/2000;15/08/2040;STNC      ;780;0;780;2444,38425;4641,84366;1906619,715;1714018,335;3620638,05;0;3620638,05;;STNC    ;;;;;0;252/Exponencial;100;IPCA    ;6;0;;;;;;;;;;;;;B17017    ;3620638,05;;ACCRUAL;;179416;1,140885426;4641,84366;5,575560497;157769,64;;0;5,575560497;REAL    ;857576426,7
CUST0107       ;NÉOS PREV. COMPLEMENTAR - NÉOS PE - BRAM ALM BD FI REND FIXA;Carteira Própria;13/08/2024;RENDA FIXA;NTN-B;NTNBTNAC760199150826;07/06/2016;15/07/2000;15/08/2026;STNC      ;10200;0;10200;2947,084512;4440,748292;30060262,02;15235370,56;45295632,58;0;45295632,58;;RENA    ;;;;;0;252/Exponencial;100;IPCA    ;6;0;;;;;;;;;;;;;B141992   ;45295632,58;;ACCRUAL;;280491;1,188190157;4440,748292;5,995746432;11968,81;;0;5,995746432;REAL    ;857576426,7
CUST0107       ;NÉOS PREV. COMPLEMENTAR - NÉOS PE - BRAM ALM BD FI REND FIXA;Carteira Própria;13/08/2024;RENDA FIXA;NTN-B;NTNBTNAC760199150840;04/02/2014;15/07/2000;15/08/2040;STNC      ;929;0;929;2153,758087;4032,929644;2000841,263;1745750,377;3746591,64;0;3746591,64;;STNC    ;;;;;0;252/Exponencial;100;IPCA    ;6;0;;;;;;;;;;;;;B30942    ;3746591,64;;ACCRUAL;;179416;1,306389446;4032,929644;7,05295079;-377773,44;;0;7,05295079;REAL    ;857576426,7
CUST0107       ;NÉOS PREV. COMPLEMENTAR - NÉOS PE - BRAM ALM BD FI REND FIXA;Carteira Própria;13/08/2024;RENDA FIXA;NTN-B;NTNBTNAC760199150830;28/04/2015;15/07/2000;15/08/2030;STNC      ;1325;0;1325;2637,687857;4433,097509;3494936,411;2378917,789;5873854,2;0;5873854,2;;STNC    ;;;;;0;252/Exponencial;100;IPCA    ;6;0;;;;;;;;;;;;;B72395    ;5873854,2;;ACCRUAL;;179415;1,196970463;4433,097509;6,073920887;-8582,54;;0;6,073920887;REAL    ;857576426,7
